序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,中華統一促進黨,,109,1090102,雜支支出,順豐速達,28483484,0.00,11210.00,,,,運費,金錢,,0800*****,,,,,,,
2,中華統一促進黨,,109,1090102,選務費用支出,天源通訊,31947564,0.00,14800.00,,,,宣傳品,金錢,臺北市萬華區****,02-2*****,,,,,,,
3,中華統一促進黨,,109,1090102,選務費用支出,天源通訊,31947564,0.00,14698.00,,,,選舉文宣,金錢,臺北市萬華區****,02-2*****,,,,,,,
4,中華統一促進黨,,109,1090104,雜支支出,燦坤實業股份有限公司復北分公司,27930936,0.00,1062.00,,,,文具用品費用,金錢,臺北市松山區****,,,,,,,,
5,中華統一促進黨,,109,1090105,選務費用支出,天祥加油站,23222757,0.00,1000.00,,,,無鉛,金錢,高雄市三民區****,07-3*****,,,,,,,
6,中華統一促進黨,,109,1090105,雜支支出,台灣中油中崙加油站,01317131,0.00,793.00,,,,九五無鉛,金錢,臺北市中山區****,0227*****,,,,,,,
7,中華統一促進黨,,109,1090105,雜支支出,台灣中油中崙加油站,01317131,0.00,609.00,,,,九五無鉛,金錢,臺北市中山區****,02-2*****,,,,,,,
8,中華統一促進黨,,109,1090105,選務費用支出,財來發企業有限公司,53598787,0.00,160.00,,,,插頭,金錢,高雄市苓雅區****,07-7*****,,,,,,,
9,中華統一促進黨,,109,1090106,選務費用支出,應安光復東村場,42541865,0.00,405.00,,,,停車費,金錢,,,,,,,,,
10,中華統一促進黨,,109,1090106,選務費用支出,土城加油站實業股份有限公司,23253483,0.00,1000.00,,,,無鉛,金錢,臺南市安明路****,06-2*****,,,,,,,
11,中華統一促進黨,,109,1090106,選務費用支出,應安光復東村場,42541865,0.00,210.00,,,,停車費,金錢,,,,,,,,,
12,中華統一促進黨,,109,1090106,選務費用支出,新翔加油站,53258318,0.00,1000.00,,,,停車費,金錢,高雄市鼓山區****,07-5*****,,,,,,,
13,中華統一促進黨,,109,1090107,雜支支出,順豐速達,28483484,0.00,270.00,,,,運費,金錢,,0800*****,,,,,,,
14,中華統一促進黨,,109,1090107,雜支支出,順豐速達,28483484,0.00,540.00,,,,運費,金錢,,0800*****,,,,,,,
15,中華統一促進黨,,109,1090107,雜支支出,紅木企業有限公司,20996383,0.00,5072.00,,,,媒體調查報告書,金錢,臺北市松山區****,02-2*****,,,,,,,
16,中華統一促進黨,,109,1090107,選務費用支出,應安光復東村場,42541865,0.00,75.00,,,,停車費,金錢,,,,,,,,,
17,中華統一促進黨,,109,1090107,雜支支出,大豐茶行,21564166,0.00,200.00,,,,飲料,金錢,新北市新店區****,,,,,,,,
18,中華統一促進黨,,109,1090108,雜支支出,FamilyMart,96974867,0.00,109.00,,,,飲料,金錢,,,,,,,,,
19,中華統一促進黨,,109,1090108,選務費用支出,車亭企業股份有限公司頭份站,39751802,0.00,1000.00,,,,無鉛,金錢,苗栗縣頭份市****,037-*****,,,,,,,
20,中華統一促進黨,,109,1090108,雜支支出,台灣中油光復北路站,01606343,0.00,1000.00,,,,九五無鉛,金錢,臺北市光復北****,02-2*****,,,,,,,
21,中華統一促進黨,,109,1090108,選務費用支出,中華太子加油站股份有限公司,79955248,0.00,110.00,,,,無鉛,金錢,臺南市南區中****,06-2*****,,,,,,,
22,中華統一促進黨,,109,1090108,雜支支出,莊敬加油站有限公司,96879569,0.00,500.00,,,,九五無鉛,金錢,新北市新店區****,02-2*****,,,,,,,
23,中華統一促進黨,,109,1090108,雜支支出,台灣加油金山南路站,01802133,0.00,1000.00,,,,九五無鉛,金錢,臺北市金山南****,02-2*****,,,,,,,
